dataset,model,fname,ACC,DSC,iou,iouA,iouB,dice,model_
Bile Duct Branch,cGAN+MT2F-CLR,13_39_33024_39424_real_B_a.png,0.953659058,0.439564495,0.617247389,0.281693472,0.952801305,0.476829529,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_33024_39424_real_B_b.png,0.751968384,0.599738987,0.561832392,0.428305138,0.695359646,0.375984192,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_33024_39424_real_B_c.png,0.915512085,0.424846785,0.591254271,0.269717753,0.912790789,0.457756042,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_33024_39424_real_B_d.png,0.754318237,0.788548165,0.598770595,0.650911693,0.546629498,0.377159119,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_33536_55296_real_B_a.png,0.701370239,0.442024234,0.472512322,0.283717015,0.661307628,0.35068512,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_33536_55296_real_B_b.png,0.773574829,0.740554244,0.626735977,0.588000111,0.665471843,0.386787415,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_33536_55296_real_B_c.png,0.897720337,0.365426489,0.559088808,0.223560755,0.89461686,0.448860168,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_33536_55296_real_B_d.png,0.739212036,0.582116922,0.545940928,0.410553544,0.681328311,0.369606018,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_34048_23040_real_B_a.png,0.775238037,0.832773262,0.601525225,0.713463147,0.489587304,0.387619019,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_34048_23040_real_B_b.png,0.818847656,0.740196078,0.671694688,0.587548638,0.755840737,0.409423828,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_34048_23040_real_B_c.png,0.780929565,0.845462472,0.592816376,0.732295357,0.453337395,0.390464783,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_34048_23040_real_B_d.png,0.863830566,0.693312255,0.684823435,0.530587555,0.839059316,0.431915283,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_34048_56832_real_B_a.png,0.751312256,0.736414801,0.60086375,0.582797901,0.618929599,0.375656128,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_34048_56832_real_B_b.png,0.769439697,0.740591952,0.622190408,0.588047657,0.656333159,0.384719849,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_34048_56832_real_B_c.png,0.931137085,0.53411789,0.64633662,0.364366197,0.928307042,0.465568542,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_34048_56832_real_B_d.png,0.978271484,0.244962884,0.558885832,0.139577039,0.978194625,0.489135742,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_35584_66048_real_B_a.png,0.724365234,0.645247447,0.554221025,0.476284356,0.632157693,0.362182617,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_35584_66048_real_B_b.png,0.729934692,0.742045968,0.57414019,0.589883214,0.558397166,0.364967346,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_35584_66048_real_B_c.png,0.811309814,0.746296828,0.667050673,0.595273941,0.738827406,0.405654907,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_35584_66048_real_B_d.png,0.806335449,0.731624799,0.656848753,0.576820485,0.736877021,0.403167725,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_35584_69120_real_B_a.png,0.748382568,0.724155236,0.595942691,0.567588829,0.624296553,0.374191284,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_35584_69120_real_B_b.png,0.818511963,0.822583532,0.692664621,0.698634302,0.68669494,0.409255981,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_35584_69120_real_B_c.png,0.823913574,0.647525962,0.634354418,0.478771454,0.789937382,0.411956787,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_35584_69120_real_B_d.png,0.762710571,0.764353795,0.616424483,0.618586285,0.614262681,0.381355286,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_36096_69120_real_B_a.png,0.885391235,0.820315303,0.770076727,0.695368267,0.844785187,0.442695618,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_36096_69120_real_B_b.png,0.808334351,0.802160936,0.678102394,0.669673381,0.686531407,0.404167175,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_36096_69120_real_B_c.png,0.818786621,0.74000613,0.671561512,0.58730931,0.755813714,0.409393311,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_36096_69120_real_B_d.png,0.76890564,0.778221968,0.624133214,0.636958554,0.611307874,0.38445282,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_36608_65536_real_B_a.png,0.889404297,0.613934164,0.66083707,0.442932903,0.878741238,0.444702148,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_36608_65536_real_B_b.png,0.743759155,0.793725664,0.576297702,0.657997638,0.494597767,0.371879578,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_36608_65536_real_B_c.png,0.750656128,0.825753617,0.546922533,0.703220065,0.390625,0.375328064,0
Bile Duct Branch,cGAN+MT2F-CLR,13_39_36608_65536_real_B_d.png,0.850280762,0.737084673,0.697075375,0.583637444,0.810513306,0.425140381,0
Bile Duct Branch,cGAN+MT2F-CLR,1_41_31488_35072_real_B_a.png,0.810501099,0.849010954,0.666025707,0.737635999,0.594415415,0.405250549,0
Bile Duct Branch,cGAN+MT2F-CLR,1_41_31488_35072_real_B_b.png,0.812957764,0.774577954,0.678240722,0.632090762,0.724390683,0.406478882,0
Bile Duct Branch,cGAN+MT2F-CLR,1_41_31488_35072_real_B_c.png,0.764984131,0.784882259,0.617265426,0.645931034,0.588599818,0.382492065,0
Bile Duct Branch,cGAN+MT2F-CLR,1_41_31488_35072_real_B_d.png,0.792800903,0.815414939,0.653155311,0.688354907,0.617955716,0.396400452,0
Bile Duct Branch,cGAN+MT2F-UNET,13_39_33024_39424_real_B_a.png,0.953384399,0.445251498,0.619438705,0.286381687,0.952495724,0.4766922,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_33024_39424_real_B_b.png,0.751937866,0.599985237,0.561899283,0.428556364,0.695242202,0.375968933,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_33024_39424_real_B_c.png,0.915390015,0.425686173,0.591522883,0.270394737,0.912651029,0.457695007,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_33024_39424_real_B_d.png,0.743560791,0.776533787,0.586091655,0.634699822,0.537483487,0.371780396,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_33536_55296_real_B_a.png,0.701370239,0.444337185,0.473252424,0.285625639,0.660879208,0.35068512,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_33536_55296_real_B_b.png,0.766815186,0.731244065,0.617409786,0.576347305,0.658472266,0.383407593,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_33536_55296_real_B_c.png,0.897644043,0.3762321,0.563043477,0.231703127,0.894383827,0.448822021,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_33536_55296_real_B_d.png,0.73664856,0.578236113,0.542668304,0.406703334,0.678633274,0.36832428,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_34048_23040_real_B_a.png,0.762954712,0.821122203,0.588307851,0.696528687,0.480087015,0.381477356,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_34048_23040_real_B_b.png,0.815383911,0.734082068,0.666066841,0.579881246,0.752252437,0.407691956,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_34048_23040_real_B_c.png,0.772567749,0.838135161,0.584123912,0.721370621,0.446877203,0.386283875,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_34048_23040_real_B_d.png,0.861221313,0.686972982,0.679744606,0.523197903,0.83629131,0.430610657,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_34048_56832_real_B_a.png,0.741882324,0.722224047,0.588373965,0.565219626,0.611528304,0.370941162,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_34048_56832_real_B_b.png,0.759033203,0.724580557,0.607660107,0.568111582,0.647208632,0.379516602,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_34048_56832_real_B_c.png,0.930557251,0.536510846,0.647123218,0.366597077,0.927649359,0.465278625,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_34048_56832_real_B_d.png,0.977478027,0.256048387,0.562105604,0.146820809,0.977390399,0.488739014,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_35584_66048_real_B_a.png,0.724700928,0.64581861,0.554677765,0.476907019,0.63244851,0.362350464,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_35584_66048_real_B_b.png,0.724945068,0.735991095,0.568094815,0.582267334,0.553922296,0.362472534,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_35584_66048_real_B_c.png,0.803268433,0.73287061,0.654462296,0.578370777,0.730553814,0.401634216,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_35584_66048_real_B_d.png,0.805023193,0.727965597,0.654244409,0.572284519,0.736204298,0.402511597,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_35584_69120_real_B_a.png,0.745071411,0.719186486,0.591512247,0.561507572,0.621516923,0.372535706,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_35584_69120_real_B_b.png,0.811340332,0.813491824,0.682537495,0.685618389,0.679456601,0.405670166,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_35584_69120_real_B_c.png,0.822479248,0.645066813,0.632210863,0.476087544,0.788334182,0.411239624,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_35584_69120_real_B_d.png,0.753234863,0.753136926,0.604151328,0.604025367,0.60427729,0.376617432,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_36096_69120_real_B_a.png,0.882553101,0.814588201,0.764447055,0.687177403,0.841716706,0.44127655,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_36096_69120_real_B_b.png,0.799835205,0.791440109,0.666062175,0.654862134,0.677262215,0.399917603,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_36096_69120_real_B_c.png,0.814971924,0.732223302,0.664939069,0.577564884,0.752313254,0.407485962,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_36096_69120_real_B_d.png,0.762069702,0.769732859,0.61532184,0.625663186,0.604980493,0.381034851,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_36608_65536_real_B_a.png,0.88571167,0.598649662,0.651128706,0.427194861,0.875062552,0.442855835,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_36608_65536_real_B_b.png,0.725601196,0.774521974,0.556513154,0.632016207,0.481010101,0.362800598,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_36608_65536_real_B_c.png,0.729492188,0.806800349,0.527283273,0.676165425,0.378401122,0.364746094,1
Bile Duct Branch,cGAN+MT2F-UNET,13_39_36608_65536_real_B_d.png,0.849578857,0.733596368,0.694781704,0.579275319,0.81028809,0.424789429,1
Bile Duct Branch,cGAN+MT2F-UNET,1_41_31488_35072_real_B_a.png,0.800827026,0.839096187,0.654213909,0.722795617,0.585632202,0.400413513,1
Bile Duct Branch,cGAN+MT2F-UNET,1_41_31488_35072_real_B_b.png,0.811096191,0.771054481,0.675192888,0.627411443,0.722974334,0.405548096,1
Bile Duct Branch,cGAN+MT2F-UNET,1_41_31488_35072_real_B_c.png,0.760681152,0.778699627,0.612115504,0.63759878,0.586632228,0.380340576,1
Bile Duct Branch,cGAN+MT2F-UNET,1_41_31488_35072_real_B_d.png,0.780654907,0.801238887,0.637610676,0.668389121,0.60683223,0.390327454,1
Bile Duct Branch,cycleGAN+MT2F-CLR,13_39_33024_39424_real_B_a.png,0.897232056,0.292170257,0.533041034,0.171076923,0.895005145,0.448616028,2
Bile Duct Branch,cycleGAN+MT2F-CLR,13_39_33024_39424_real_B_b.png,0.624847412,0.325375919,0.390914776,0.194297886,0.587531666,0.312423706,2
Bile Duct Branch,cycleGAN+MT2F-CLR,13_39_33024_39424_real_B_c.png,0.867111206,0.298622856,0.51938034,0.175518319,0.86324236,0.433555603,2
Bile Duct Branch,cycleGAN+MT2F-CLR,13_39_33024_39424_real_B_d.png,0.704284668,0.765022552,0.524630762,0.619462771,0.429798753,0.352142334,2
Bile Duct Branch,cycleGAN+MT2F-CLR,13_39_33536_55296_real_B_a.png,0.717285156,0.673100674,0.554243639,0.507273356,0.601213921,0.358642578,2
Bile Duct Branch,cycleGAN+MT2F-CLR,13_39_33536_55296_real_B_b.png,0.618667603,0.587654891,0.446235757,0.416084488,0.476387026,0.309333801,2
Bile Duct Branch,cycleGAN+MT2F-CLR,13_39_33536_55296_real_B_c.png,0.868804932,0.411418401,0.560742473,0.258984745,0.8625002,0.434402466,2
Bile Duct Branch,cycleGAN+MT2F-CLR,13_39_33536_55296_real_B_d.png,0.724609375,0.637138606,0.55214803,0.467500664,0.636795396,0.362304688,2
Bile Duct Branch,cycleGAN+MT2F-CLR,13_39_34048_23040_real_B_a.png,0.721252441,0.805108072,0.508370071,0.673791539,0.342948603,0.360626221,2
Bile Duct Branch,cycleGAN+MT2F-CLR,13_39_34048_23040_real_B_b.png,0.660827637,0.395748383,0.432568256,0.246687227,0.618449285,0.330413818,2
Bile Duct Branch,cycleGAN+MT2F-CLR,13_39_34048_23040_real_B_c.png,0.800048828,0.869541843,0.584940108,0.769194188,0.400686028,0.400024414,2
Bile Duct Branch,cycleGAN+MT2F-CLR,13_39_34048_23040_real_B_d.png,0.722213745,0.212348029,0.415096688,0.118786001,0.711407375,0.361106873,2
Bile Duct Branch,cycleGAN+MT2F-CLR,13_39_34048_56832_real_B_a.png,0.704620361,0.687360703,0.5431191,0.523647817,0.562590383,0.352310181,2
Bile Duct Branch,cycleGAN+MT2F-CLR,13_39_34048_56832_real_B_b.png,0.625991821,0.661651229,0.452373416,0.494378778,0.410368054,0.312995911,2
Bile Duct Branch,cycleGAN+MT2F-CLR,13_39_34048_56832_real_B_c.png,0.637878418,0.242515161,0.376792544,0.137989902,0.615595186,0.318939209,2
Bile Duct Branch,cycleGAN+MT2F-CLR,13_39_34048_56832_real_B_d.png,0.951080322,0.187119675,0.527010052,0.103216783,0.950803321,0.475540161,2
Bile Duct Branch,cycleGAN+MT2F-CLR,13_39_35584_66048_real_B_a.png,0.745178223,0.75920639,0.592974498,0.611871615,0.57407738,0.372589111,2
